Trie constructed
shortlist size: 100
Word counts size: 881233
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 7625530
Initial setup phase: 20162 ms
137. |her [68 65 72 ] | 1773133  | 2 ms | 19 ms | num. checks: 3
138. |ial [69 61 6c ] | 1733517  | 2 ms | 24 ms | num. checks: 2
139. |Ġcomp [c4 a0 63 6f 6d 70 ] | 1720397  | 0 ms | 5 ms | num. checks: 1
140. |Ġeffect [c4 a0 65 66 66 65 63 74 ] | 1686003  | 0 ms | 0 ms | num. checks: 0
141. |und [75 6e 64 ] | 1678613  | 4 ms | 18 ms | num. checks: 100
142. |ist [69 73 74 ] | 1675533  | 2 ms | 36 ms | num. checks: 1
143. |Ġenergy [c4 a0 65 6e 65 72 67 79 ] | 1646312  | 5 ms | 6 ms | num. checks: 100
144. |Ġimp [c4 a0 69 6d 70 ] | 1613368  | 0 ms | 2 ms | num. checks: 0
145. |Ġgener [c4 a0 67 65 6e 65 72 ] | 1600572  | 4 ms | 5 ms | num. checks: 100
146. |Ġnetwork [c4 a0 6e 65 74 77 6f 72 6b ] | 1583580  | 6 ms | 6 ms | num. checks: 100
147. |Ġobtain [c4 a0 6f 62 74 61 69 6e ] | 1577504  | 0 ms | 0 ms | num. checks: 0
148. |Ġparameter [c4 a0 70 61 72 61 6d 65 74 65 72 ] | 1566852  | 0 ms | 0 ms | num. checks: 0
149. |agnet [61 67 6e 65 74 ] | 1562682  | 0 ms | 11 ms | num. checks: 0
150. |Ġtrans [c4 a0 74 72 61 6e 73 ] | 1560210  | 4 ms | 9 ms | num. checks: 100
151. |Ġproblem [c4 a0 70 72 6f 62 6c 65 6d ] | 1543857  | 0 ms | 0 ms | num. checks: 0
152. |se [73 65 ] | 1541913  | 7 ms | 34 ms | num. checks: 100
153. |est [65 73 74 ] | 1538125  | 10 ms | 24 ms | num. checks: 100
154. |ymmetr [79 6d 6d 65 74 72 ] | 1523284  | 0 ms | 3 ms | num. checks: 0
155. |ĠA [c4 a0 41 ] | 1516687  | 9 ms | 57 ms | num. checks: 3
156. |Ġus [c4 a0 75 73 ] | 1500223  | 0 ms | 0 ms | num. checks: 0
157. |ĠS [c4 a0 53 ] | 1488717  | 0 ms | 88 ms | num. checks: 0
158. |Ġstudy [c4 a0 73 74 75 64 79 ] | 1482516  | 0 ms | 0 ms | num. checks: 0
159. |od [6f 64 ] | 1475613  | 4 ms | 41 ms | num. checks: 100
160. |Ġpart [c4 a0 70 61 72 74 ] | 1465508  | 4 ms | 5 ms | num. checks: 100
161. |Ġat [c4 a0 61 74 ] | 1459668  | 0 ms | 2 ms | num. checks: 0
162. |Ġtwo [c4 a0 74 77 6f ] | 1448076  | 0 ms | 0 ms | num. checks: 0
163. |ruct [72 75 63 74 ] | 1415978  | 8 ms | 13 ms | num. checks: 100
164. |ment [6d 65 6e 74 ] | 1405814  | 1 ms | 19 ms | num. checks: 1
165. |imension [69 6d 65 6e 73 69 6f 6e ] | 1404918  | 4 ms | 6 ms | num. checks: 100
166. |olution [6f 6c 75 74 69 6f 6e ] | 1403220  | 0 ms | 2 ms | num. checks: 0
167. |ces [63 65 73 ] | 1389658  | 0 ms | 10 ms | num. checks: 1
168. |Ġcharacter [c4 a0 63 68 61 72 61 63 74 65 72 ] | 1381305  | 0 ms | 0 ms | num. checks: 0
169. |ight [69 67 68 74 ] | 1348868  | 12 ms | 20 ms | num. checks: 200
170. |Ġquantum [c4 a0 71 75 61 6e 74 75 6d ] | 1344777  | 0 ms | 0 ms | num. checks: 0
171. |Ġne [c4 a0 6e 65 ] | 1344659  | 0 ms | 6 ms | num. checks: 1
172. |Ġdata [c4 a0 64 61 74 61 ] | 1343988  | 0 ms | 0 ms | num. checks: 0
173. |Ġr [c4 a0 72 ] | 1322480  | 3 ms | 8 ms | num. checks: 100
174. |du [64 75 ] | 1319896  | 0 ms | 11 ms | num. checks: 1
175. |Ġor [c4 a0 6f 72 ] | 1316674  | 0 ms | 4 ms | num. checks: 0
176. |ated [61 74 65 64 ] | 1303467  | 4 ms | 18 ms | num. checks: 100
177. |Ġse [c4 a0 73 65 ] | 1303188  | 1 ms | 10 ms | num. checks: 1
178. |Ġapproach [c4 a0 61 70 70 72 6f 61 63 68 ] | 1299567  | 0 ms | 0 ms | num. checks: 0
179. |oc [6f 63 ] | 1299200  | 4 ms | 39 ms | num. checks: 100
180. |Ġdescri [c4 a0 64 65 73 63 72 69 ] | 1271940  | 0 ms | 0 ms | num. checks: 0
181. |fficient [66 66 69 63 69 65 6e 74 ] | 1255132  | 5 ms | 7 ms | num. checks: 100
182. |Ġth [c4 a0 74 68 ] | 1247393  | 7 ms | 10 ms | num. checks: 100
183. |Ġfunction [c4 a0 66 75 6e 63 74 69 6f 6e ] | 1221478  | 8 ms | 9 ms | num. checks: 100
184. |Ġmeasure [c4 a0 6d 65 61 73 75 72 65 ] | 1220130  | 0 ms | 0 ms | num. checks: 0
185. |ĠC [c4 a0 43 ] | 1215514  | 0 ms | 66 ms | num. checks: 0
186. |Ġalso [c4 a0 61 6c 73 6f ] | 1212230  | 0 ms | 0 ms | num. checks: 0
187. |Ġanaly [c4 a0 61 6e 61 6c 79 ] | 1203174  | 2 ms | 2 ms | num. checks: 100
188. |ence [65 6e 63 65 ] | 1200518  | 0 ms | 9 ms | num. checks: 0
189. |Ġexperiment [c4 a0 65 78 70 65 72 69 6d 65 6e 74 ] | 1198356  | 0 ms | 0 ms | num. checks: 0
190. |Ġnumber [c4 a0 6e 75 6d 62 65 72 ] | 1187481  | 1 ms | 1 ms | num. checks: 23
191. |pl [70 6c ] | 1186691  | 8 ms | 31 ms | num. checks: 84
192. |ĠM [c4 a0 4d ] | 1186575  | 6 ms | 69 ms | num. checks: 5
193. |Ġhave [c4 a0 68 61 76 65 ] | 1185668  | 0 ms | 0 ms | num. checks: 0
194. |ine [69 6e 65 ] | 1181224  | 1 ms | 20 ms | num. checks: 1
195. |Ġma [c4 a0 6d 61 ] | 1181060  | 3 ms | 7 ms | num. checks: 2
196. |di [64 69 ] | 1179196  | 1 ms | 20 ms | num. checks: 1
197. |Ġframework [c4 a0 66 72 61 6d 65 77 6f 72 6b ] | 1178148  | 0 ms | 0 ms | num. checks: 0
198. |ore [6f 72 65 ] | 1160605  | 5 ms | 17 ms | num. checks: 100
199. |Ġcan [c4 a0 63 61 6e ] | 1158659  | 2 ms | 3 ms | num. checks: 9
200. |Ġpresent [c4 a0 70 72 65 73 65 6e 74 ] | 1152854  | 4 ms | 5 ms | num. checks: 100
201. |og [6f 67 ] | 1142835  | 4 ms | 51 ms | num. checks: 100
202. |Ġpropos [c4 a0 70 72 6f 70 6f 73 ] | 1134950  | 0 ms | 0 ms | num. checks: 0
203. |Ġconsider [c4 a0 63 6f 6e 73 69 64 65 72 ] | 1123404  | 4 ms | 4 ms | num. checks: 100
204. |Ġclass [c4 a0 63 6c 61 73 73 ] | 1120506  | 0 ms | 0 ms | num. checks: 0
205. |op [6f 70 ] | 1115685  | 0 ms | 42 ms | num. checks: 0
206. |Ġdisc [c4 a0 64 69 73 63 ] | 1112572  | 5 ms | 7 ms | num. checks: 100
207. |ĠH [c4 a0 48 ] | 1105249  | 0 ms | 33 ms | num. checks: 0
208. |lu [6c 75 ] | 1093248  | 3 ms | 18 ms | num. checks: 100
209. |Ġdynam [c4 a0 64 79 6e 61 6d ] | 1088781  | 0 ms | 0 ms | num. checks: 0
210. |ack [61 63 6b ] | 1055338  | 6 ms | 16 ms | num. checks: 200
211. |Ġdemonstr [c4 a0 64 65 6d 6f 6e 73 74 72 ] | 1050216  | 5 ms | 5 ms | num. checks: 100
212. |Ġvari [c4 a0 76 61 72 69 ] | 1050214  | 0 ms | 0 ms | num. checks: 0
213. |ĠF [c4 a0 46 ] | 1041933  | 0 ms | 30 ms | num. checks: 0
214. |Ġmulti [c4 a0 6d 75 6c 74 69 ] | 1032051  | 4 ms | 9 ms | num. checks: 100
215. |Ġpaper [c4 a0 70 61 70 65 72 ] | 1023762  | 0 ms | 0 ms | num. checks: 0
216. |Ġtemperat [c4 a0 74 65 6d 70 65 72 61 74 ] | 1023540  | 0 ms | 0 ms | num. checks: 0
217. |Ġacc [c4 a0 61 63 63 ] | 1021352  | 0 ms | 1 ms | num. checks: 1
218. |Ġhigh [c4 a0 68 69 67 68 ] | 1021322  | 0 ms | 0 ms | num. checks: 0
219. |pt [70 74 ] | 1013528  | 3 ms | 21 ms | num. checks: 100
220. |and [61 6e 64 ] | 1012414  | 1 ms | 22 ms | num. checks: 1
221. |Ġtechniqu [c4 a0 74 65 63 68 6e 69 71 75 ] | 1006765  | 0 ms | 0 ms | num. checks: 0
222. |ion [69 6f 6e ] | 1006004  | 3 ms | 21 ms | num. checks: 100
223. |pend [70 65 6e 64 ] | 992772  | 3 ms | 5 ms | num. checks: 8
224. |Ġit [c4 a0 69 74 ] | 992352  | 3 ms | 4 ms | num. checks: 20
225. |Ġsignificant [c4 a0 73 69 67 6e 69 66 69 63 61 6e 74 ] | 989470  | 0 ms | 0 ms | num. checks: 0
226. |Ġcorrespond [c4 a0 63 6f 72 72 65 73 70 6f 6e 64 ] | 987110  | 3 ms | 3 ms | num. checks: 100
227. |Ġtime [c4 a0 74 69 6d 65 ] | 983428  | 0 ms | 0 ms | num. checks: 0
228. |Ġmass [c4 a0 6d 61 73 73 ] | 974452  | 3 ms | 3 ms | num. checks: 42
229. |Ġinter [c4 a0 69 6e 74 65 72 ] | 971834  | 0 ms | 8 ms | num. checks: 0
