Trie constructed
shortlist size: 100
Word counts size: 105505
Token set size: 0
Empty token set size selected -> all possible substrings with...
Max token size: 60
Min. word count: 1
Final candidate token set size: 884630
Initial setup phase: 1897 ms
160. |Ġex [c4 a0 65 78 ] | 155811  | 2 ms | 5 ms | num. checks: 100
161. |Ġres [c4 a0 72 65 73 ] | 155506  | 0 ms | 1 ms | num. checks: 0
162. |Ġhas [c4 a0 68 61 73 ] | 155421  | 0 ms | 0 ms | num. checks: 0
163. |if [69 66 ] | 153655  | 2 ms | 8 ms | num. checks: 100
164. |and [61 6e 64 ] | 153081  | 0 ms | 6 ms | num. checks: 1
165. |Ġne [c4 a0 6e 65 ] | 151817  | 0 ms | 1 ms | num. checks: 0
166. |us [75 73 ] | 150583  | 1 ms | 6 ms | num. checks: 6
167. |Ġbetween [c4 a0 62 65 74 77 65 65 6e ] | 150432  | 0 ms | 0 ms | num. checks: 0
168. |Ġsupport [c4 a0 73 75 70 70 6f 72 74 ] | 150045  | 1 ms | 1 ms | num. checks: 34
169. |Ġcontinu [c4 a0 63 6f 6e 74 69 6e 75 ] | 149364  | 0 ms | 0 ms | num. checks: 0
170. |ĠP [c4 a0 50 ] | 147758  | 2 ms | 10 ms | num. checks: 100
171. |Ġat [c4 a0 61 74 ] | 147089  | 0 ms | 0 ms | num. checks: 0
172. |ect [65 63 74 ] | 147087  | 0 ms | 3 ms | num. checks: 1
173. |ĠM [c4 a0 4d ] | 146738  | 1 ms | 10 ms | num. checks: 5
174. |Ġwh [c4 a0 77 68 ] | 146589  | 0 ms | 0 ms | num. checks: 0
175. |ĠCouncil [c4 a0 43 6f 75 6e 63 69 6c ] | 146528  | 0 ms | 0 ms | num. checks: 0
176. |Ġit [c4 a0 69 74 ] | 145907  | 0 ms | 0 ms | num. checks: 30
177. |Ġpeoples [c4 a0 70 65 6f 70 6c 65 73 ] | 145688  | 0 ms | 0 ms | num. checks: 0
178. |olution [6f 6c 75 74 69 6f 6e ] | 144906  | 1 ms | 2 ms | num. checks: 100
179. |Ġimp [c4 a0 69 6d 70 ] | 143732  | 0 ms | 1 ms | num. checks: 0
180. |ion [69 6f 6e ] | 143665  | 1 ms | 4 ms | num. checks: 100
181. |end [65 6e 64 ] | 143409  | 0 ms | 3 ms | num. checks: 0
182. |rough [72 6f 75 67 68 ] | 140688  | 0 ms | 0 ms | num. checks: 0
183. |iv [69 76 ] | 137587  | 2 ms | 8 ms | num. checks: 100
184. |ge [67 65 ] | 135137  | 1 ms | 5 ms | num. checks: 100
185. |ak [61 6b ] | 134500  | 1 ms | 5 ms | num. checks: 100
186. |sion [73 69 6f 6e ] | 133797  | 0 ms | 4 ms | num. checks: 2
187. |qu [71 75 ] | 133214  | 0 ms | 6 ms | num. checks: 0
188. |Ġconflict [c4 a0 63 6f 6e 66 6c 69 63 74 ] | 131956  | 0 ms | 0 ms | num. checks: 0
189. |est [65 73 74 ] | 131842  | 1 ms | 5 ms | num. checks: 100
190. |am [61 6d ] | 126162  | 3 ms | 11 ms | num. checks: 200
191. |Ġv [c4 a0 76 ] | 124054  | 1 ms | 3 ms | num. checks: 100
192. |Ġright [c4 a0 72 69 67 68 74 ] | 122186  | 1 ms | 1 ms | num. checks: 99
193. |Ġag [c4 a0 61 67 ] | 120287  | 0 ms | 0 ms | num. checks: 0
194. |iz [69 7a ] | 118124  | 3 ms | 16 ms | num. checks: 184
195. |Ġglobal [c4 a0 67 6c 6f 62 61 6c ] | 117308  | 1 ms | 1 ms | num. checks: 84
196. |ĠEurope [c4 a0 45 75 72 6f 70 65 ] | 116985  | 0 ms | 0 ms | num. checks: 0
197. |Ġor [c4 a0 6f 72 ] | 116615  | 0 ms | 0 ms | num. checks: 0
198. |ff [66 66 ] | 115731  | 0 ms | 2 ms | num. checks: 0
199. |ĠSecretary [c4 a0 53 65 63 72 65 74 61 72 79 ] | 115540  | 0 ms | 0 ms | num. checks: 0
200. |os [6f 73 ] | 114109  | 1 ms | 6 ms | num. checks: 100
201. |ers [65 72 73 ] | 112877  | 1 ms | 8 ms | num. checks: 100
202. |ie [69 65 ] | 112366  | 1 ms | 3 ms | num. checks: 9
203. |Ġtheir [c4 a0 74 68 65 69 72 ] | 111763  | 0 ms | 0 ms | num. checks: 0
204. |� [e2 80 ] | 111415  | 0 ms | 1 ms | num. checks: 100
205. |ference [66 65 72 65 6e 63 65 ] | 110673  | 0 ms | 0 ms | num. checks: 0
206. |ant [61 6e 74 ] | 108719  | 1 ms | 6 ms | num. checks: 88
207. |Ġproblem [c4 a0 70 72 6f 62 6c 65 6d ] | 108638  | 0 ms | 0 ms | num. checks: 0
208. |ot [6f 74 ] | 108360  | 1 ms | 5 ms | num. checks: 100
209. |Ġcountries [c4 a0 63 6f 75 6e 74 72 69 65 73 ] | 106261  | 0 ms | 0 ms | num. checks: 60
210. |reat [72 65 61 74 ] | 106256  | 0 ms | 0 ms | num. checks: 0
211. |ast [61 73 74 ] | 106217  | 1 ms | 3 ms | num. checks: 100
212. |ious [69 6f 75 73 ] | 105518  | 1 ms | 4 ms | num. checks: 100
213. |Ġsystem [c4 a0 73 79 73 74 65 6d ] | 103808  | 0 ms | 0 ms | num. checks: 0
214. |ri [72 69 ] | 103182  | 1 ms | 6 ms | num. checks: 28
215. |Ġen [c4 a0 65 6e ] | 102541  | 0 ms | 1 ms | num. checks: 0
216. |Ġapp [c4 a0 61 70 70 ] | 102476  | 0 ms | 0 ms | num. checks: 1
217. |ĠPresident [c4 a0 50 72 65 73 69 64 65 6e 74 ] | 102444  | 0 ms | 0 ms | num. checks: 0
218. |ure [75 72 65 ] | 102290  | 0 ms | 3 ms | num. checks: 100
219. |out [6f 75 74 ] | 101670  | 0 ms | 1 ms | num. checks: 0
